sample_id cpg_meth_rate chg_meth_rate chh_meth_rate overall_meth_rate total_cpg total_chg total_chh n_reads
SRR13404372 0.819405 0.00526093 0.00568604 0.0441631 88646 396698 1384972 127650
SRR13404369 0.819892 0.00462406 0.00491569 0.0446581 92572 410462 1392277 128158
SRR13404370 0.805918 0.0037345 0.00386637 0.0439012 99329 427367 1461838 125118
SRR13404368 0.825094 0.00515003 0.00502839 0.0442621 89991 401745 1390506 129002
SRR13404371 0.825816 0.00331814 0.00343269 0.0417712 88045 399019 1400360 126020
SRR13404367 0.815725 0.00472764 0.00499378 0.0436398 94142 423679 1454210 128966
SRR13404376 0.804601 0.00316252 0.00337507 0.0417945 92554 415808 1419525 127878
SRR13404375 0.830327 0.00460561 0.00497111 0.0426311 81009 374543 1316206 128512
SRR13404374 0.809024 0.00331125 0.0032745 0.0419531 93310 413741 1437168 124984
SRR13404373 0.820082 0.00327545 0.00333212 0.0427701 94693 422538 1443227 128022
SRR13404381 0.810347 0.00294622 0.00321257 0.0413567 93439 421218 1459580 128312
SRR13404377 0.797367 0.00292866 0.00326511 0.0406014 89699 408037 1406384 126344
SRR13404378 0.80061 0.00280898 0.00294736 0.0414656 95030 423998 1447396 128540
SRR13404380 0.81982 0.0219095 0.0227778 0.0599454 87418 397636 1380293 126848
SRR13404384 0.815608 0.00404975 0.00426114 0.0427286 89597 403482 1394462 125438
SRR13404383 0.81555 0.0119056 0.0119666 0.0479319 77387 357983 1293104 127270
SRR13404386 0.801302 0.00309194 0.00304215 0.040811 88310 401043 1377643 127730
SRR13404379 0.802361 0.00298463 0.00313382 0.0405033 89188 409431 1407228 125496
SRR13404385 0.799388 0.00338533 0.00336087 0.0413475 91475 412368 1413324 127184
SRR13404388 0.81541 0.00287563 0.00304849 0.0421923 92253 409301 1411189 126162
SRR13404382 0.805515 0.00316879 0.00328917 0.0419523 95637 424136 1463288 127718
SRR13404387 0.81506 0.00274895 0.00267107 0.0426821 94766 416523 1413665 125304
