sample_id region1_count region2_count region3_count total_fragments
SRR13404370 9403 28183 24973 62559
SRR13404368 9892 29898 24711 64501
SRR13404369 9293 28612 26174 64079
SRR13404372 9428 29303 25094 63825
SRR13404371 10013 29580 23417 63010
SRR13404367 9980 29668 24835 64483
SRR13404373 10001 29082 24928 64011
SRR13404376 9840 29346 24753 63939
SRR13404375 10009 31316 22931 64256
SRR13404378 10056 29186 25028 64270
SRR13404380 10417 29636 23371 63424
SRR13404377 10347 29060 23765 63172
SRR13404374 9545 28640 24307 62492
SRR13404381 9878 29450 24828 64156
SRR13404382 9641 29125 25093 63859
SRR13404383 10107 32908 20620 63635
SRR13404386 9605 29917 24343 63865
SRR13404379 9592 29136 24020 62748
SRR13404385 9557 29656 24379 63592
SRR13404384 9838 29158 23723 62719
SRR13404387 9311 28851 24490 62652
SRR13404388 9668 29325 24088 63081
